Package,Version,CVE,Severity
GIMP,2.10.30,CVE-2022-32990,MEDIUM
GIMP,2.10.30,CVE-2022-30067,MEDIUM
GIMP,2.10.30,CVE-2021-45463,HIGH
Notepad++,8.4.1,CVE-2022-31902,MEDIUM
Notepad++,8.4.1,CVE-2022-32168,HIGH
ASUS,0.0.4.3,CVE-2021-37317,CRITICAL
ASUS,0.0.4.3,CVE-2021-37315,CRITICAL
ASUS,0.0.4.3,CVE-2021-37316,HIGH
ASUS,0.0.4.3,CVE-2022-38105,HIGH
ASUS,0.0.4.3,CVE-2022-35401,HIGH
ASUS,0.0.4.3,CVE-2022-38393,HIGH
ASUS,0.0.4.3,CVE-2022-26376,CRITICAL
ASUS,0.0.4.3,CVE-2021-40556,HIGH
ASUS,0.0.4.3,CVE-2021-41437,MEDIUM
ASUS,0.0.4.3,CVE-2021-43702,CRITICAL
ASUS,0.0.4.3,CVE-2022-31874,CRITICAL
ASUS,0.0.4.3,CVE-2021-45757,HIGH
ASUS,0.0.4.3,CVE-2021-45756,CRITICAL
ASUS,0.0.4.3,CVE-2021-46109,MEDIUM
ASUS,0.0.4.3,CVE-2019-20082,CRITICAL
ASUS,0.0.4.3,CVE-2021-41435,CRITICAL
ASUS,0.0.4.3,CVE-2021-41436,HIGH
ASUS,0.0.4.3,CVE-2021-32030,CRITICAL
ASUS,0.0.4.3,CVE-2021-3128,HIGH
ASUS,0.0.4.3,CVE-2021-3229,HIGH
NVIDIA,11.5,CVE-2021-1100,MEDIUM
NVIDIA,11.5,CVE-2021-1101,MEDIUM
NVIDIA,11.5,CVE-2021-1102,MEDIUM
NVIDIA,11.5,CVE-2021-1098,HIGH
NVIDIA,11.5,CVE-2021-1097,HIGH
NVIDIA,11.5,CVE-2021-1099,HIGH
NVIDIA,11.5,CVE-2021-1103,MEDIUM
NVIDIA,11.5,CVE-2016-1846,HIGH
NVIDIA,11.5,CVE-2016-1861,HIGH
NVIDIA,11.5,CVE-2021-1100,MEDIUM
NVIDIA,11.5,CVE-2021-1101,MEDIUM
NVIDIA,11.5,CVE-2021-1102,MEDIUM
NVIDIA,11.5,CVE-2021-1098,HIGH
NVIDIA,11.5,CVE-2021-1097,HIGH
NVIDIA,11.5,CVE-2021-1099,HIGH
NVIDIA,11.5,CVE-2021-1103,MEDIUM
NVIDIA,11.5,CVE-2016-1846,HIGH
NVIDIA,11.5,CVE-2016-1861,HIGH
NVIDIA,11.5,CVE-2021-1100,MEDIUM
NVIDIA,11.5,CVE-2021-1101,MEDIUM
NVIDIA,11.5,CVE-2021-1102,MEDIUM
NVIDIA,11.5,CVE-2021-1098,HIGH
NVIDIA,11.5,CVE-2021-1097,HIGH
NVIDIA,11.5,CVE-2021-1099,HIGH
NVIDIA,11.5,CVE-2021-1103,MEDIUM
NVIDIA,11.5,CVE-2016-1846,HIGH
NVIDIA,11.5,CVE-2016-1861,HIGH
Demo,11.5,CVE-2013-2555,None
Demo,11.5,CVE-2007-1785,None
Demo,11.5,CVE-2008-2242,None
Demo,11.5,CVE-2019-9741,MEDIUM
Demo,11.5,CVE-2014-5352,None
Demo,11.5,CVE-2014-9421,None
Demo,11.5,CVE-2014-9422,None
Demo,11.5,CVE-2018-6790,MEDIUM
Demo,11.5,CVE-2018-17031,MEDIUM
Demo,11.5,CVE-2006-4855,None
Demo,11.5,CVE-2010-2882,None
Demo,11.5,CVE-2010-2881,None
Demo,11.5,CVE-2010-2880,None
Demo,11.5,CVE-2010-2869,None
Demo,11.5,CVE-2010-2868,None
Demo,11.5,CVE-2010-2864,None
Demo,11.5,CVE-2017-11685,MEDIUM
Demo,11.5,CVE-2015-7766,None
Demo,11.5,CVE-2011-2612,None
Demo,11.5,CVE-2011-2615,None
NVIDIA,11.5,CVE-2021-1100,MEDIUM
NVIDIA,11.5,CVE-2021-1101,MEDIUM
NVIDIA,11.5,CVE-2021-1102,MEDIUM
NVIDIA,11.5,CVE-2021-1098,HIGH
NVIDIA,11.5,CVE-2021-1097,HIGH
NVIDIA,11.5,CVE-2021-1099,HIGH
NVIDIA,11.5,CVE-2021-1103,MEDIUM
NVIDIA,11.5,CVE-2016-1846,HIGH
NVIDIA,11.5,CVE-2016-1861,HIGH
NVIDIA,11.5,CVE-2021-1100,MEDIUM
NVIDIA,11.5,CVE-2021-1101,MEDIUM
NVIDIA,11.5,CVE-2021-1102,MEDIUM
NVIDIA,11.5,CVE-2021-1098,HIGH
NVIDIA,11.5,CVE-2021-1097,HIGH
NVIDIA,11.5,CVE-2021-1099,HIGH
NVIDIA,11.5,CVE-2021-1103,MEDIUM
NVIDIA,11.5,CVE-2016-1846,HIGH
NVIDIA,11.5,CVE-2016-1861,HIGH
Compute,11.5,CVE-2007-2139,None
Compute,11.5,CVE-2007-5003,None
Compute,11.5,CVE-2007-5004,None
Compute,11.5,CVE-2007-5005,None
Compute,11.5,CVE-2007-5006,None
Compute,11.5,CVE-2007-0168,None
Compute,11.5,CVE-2007-0169,None
Compute,11.5,CVE-2006-5171,None
Compute,11.5,CVE-2006-5172,None
Compute,11.5,CVE-2006-6917,None
Compute,11.5,CVE-2006-6076,None
Compute,11.5,CVE-2007-0816,None
Compute,11.5,CVE-2007-1447,None
Compute,11.5,CVE-2007-1448,None
Compute,11.5,CVE-2016-1836,MEDIUM
Visual,11.5,CVE-2022-41558,MEDIUM
Visual,11.5,CVE-2019-6795,MEDIUM
NVIDIA,11.5,CVE-2021-1100,MEDIUM
NVIDIA,11.5,CVE-2021-1101,MEDIUM
NVIDIA,11.5,CVE-2021-1102,MEDIUM
NVIDIA,11.5,CVE-2021-1098,HIGH
NVIDIA,11.5,CVE-2021-1097,HIGH
NVIDIA,11.5,CVE-2021-1099,HIGH
NVIDIA,11.5,CVE-2021-1103,MEDIUM
NVIDIA,11.5,CVE-2016-1846,HIGH
NVIDIA,11.5,CVE-2016-1861,HIGH
