Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
2to3 ii:2to3:3.9.2-3:all:2to3:binary:using:python3 3.9.23
accountsservice ii:accountsservice:0.6.55-3:amd64:query:and:manipulate:user:account:information 0.6.553
acl ii:acl:2.2.53-10:amd64:access:control:list:-:utilities 2.2.5310
adduser ii:adduser:3.118:all:add:and:remove:users:and:groups 3.118
adwaita-icon-theme ii:adwaita-icon-theme:3.38.0-1:all:default:icon:theme:of:GNOME 3.38.01
aisleriot ii:aisleriot:1:3.22.9-1:amd64:GNOME:solitaire:card:game:collection 13.22.91
alsa-topology-conf ii:alsa-topology-conf:1.2.4-1:all:ALSA:topology:configuration:files 1.2.41
alsa-ucm-conf ii:alsa-ucm-conf:1.2.4-2:all:ALSA:Use:Case:Manager:configuration:files 1.2.42
alsa-utils ii:alsa-utils:1.2.4-1:amd64:Utilities:for:configuring:and:using:ALSA 1.2.41
anacron ii:anacron:2.3-30:amd64:cron-like:program:that:doesn't:go:by:time 2.330
apache2-bin ii:apache2-bin:2.4.56-1~deb11u1:amd64:Apache:HTTP:Server:(modules:and:other:binary:files) 2.4.561111
apg ii:apg:2.2.3.dfsg.1-5+b2:amd64:Automated:Password:Generator:-:Standalone:version 2.2.3..15
apparmor ii:apparmor:2.13.6-10:amd64:user-space:parser:utility:for:AppArmor 2.13.610
appstream ii:appstream:0.14.4-1:amd64:Software:component:metadata:management 0.14.41
apt ii:apt:2.2.4:amd64:commandline:package:manager 2.2.4
apt-config-icons ii:apt-config-icons:0.14.4-1:all:APT:configuration:snippet:to:enable:icon:downloads 0.14.41
apt-listchanges ii:apt-listchanges:3.24:all:package:change:history:notification:tool 3.24
apt-utils ii:apt-utils:2.2.4:amd64:package:management:related:utility:programs 2.2.4
aspell ii:aspell:0.60.8-3:amd64:GNU:Aspell:spell-checker 0.60.83
aspell-en ii:aspell-en:2018.04.16-0-1:all:English:dictionary:for:GNU:Aspell 2018.04.1601
aspell-fr ii:aspell-fr:0.50-3-8.1:all:French:dictionary:for:aspell 0.5038.1
at-spi2-core ii:at-spi2-core:2.38.0-4:amd64:Assistive:Technology:Service:Provider:Interface:(dbus:core) 2.38.04
avahi-daemon ii:avahi-daemon:0.8-5+deb11u1:amd64:Avahi:mDNS/DNS-SD:daemon 0.85
baobab ii:baobab:3.38.0-1:amd64:GNOME:disk:usage:analyzer 3.38.01
base-files ii:base-files:11.1+deb11u6:amd64:Debian:base:system:miscellaneous:files 11.1
base-passwd ii:base-passwd:3.5.51:amd64:Debian:base:system:master:password:and:group:files 3.5.51
bash ii:bash:5.1-2+deb11u1:amd64:GNU:Bourne:Again:SHell 5.12
bash-completion ii:bash-completion:1:2.11-2:all:programmable:completion:for:the:bash:shell 12.112
bc ii:bc:1.07.1-2+b2:amd64:GNU:bc:arbitrary:precision:calculator:language 1.07.12
bind9-dnsutils ii:bind9-dnsutils:1:9.16.37-1~deb11u1:amd64:Clients:provided:with:BIND:9 19.16.371111
bind9-host ii:bind9-host:1:9.16.37-1~deb11u1:amd64:DNS:Lookup:Utility 19.16.371111
bind9-libs:amd64 ii:bind9-libs:amd64:1:9.16.37-1~deb11u1:amd64:Shared:Libraries:used:by:BIND:9 19.16.371111
binutils ii:binutils:2.35.2-2:amd64:GNU:assembler,:linker:and:binary:utilities 2.35.22
binutils-common:amd64 ii:binutils-common:amd64:2.35.2-2:amd64:Common:files:for:the:GNU:assembler,:linker:and:binary:utilities 2.35.22
binutils-x86-64-linux-gnu ii:binutils-x86-64-linux-gnu:2.35.2-2:amd64:GNU:binary:utilities,:for:x86-64-linux-gnu:target 2.35.22
blt ii:blt:2.5.3+dfsg-4.1:amd64:graphics:extension:library:for:Tcl/Tk:-:run-time 2.5.3
bluez ii:bluez:5.55-3.1:amd64:Bluetooth:tools:and:daemons 5.553.1
bluez-obexd ii:bluez-obexd:5.55-3.1:amd64:bluez:obex:daemon 5.553.1
bogofilter ii:bogofilter:1.2.5-1:amd64:fast:Bayesian:spam:filter:(meta:package) 1.2.51
bogofilter-bdb ii:bogofilter-bdb:1.2.5-1:amd64:fast:Bayesian:spam:filter:(Berkeley:DB) 1.2.51
